ref	query	key	label	auc	optimal threshold
whole_cortex	pineda	rachel_subclass	Astrocyte	1.0	0.41
whole_cortex	pineda	rachel_subclass	Chandelier	1.0	0.36
whole_cortex	pineda	rachel_subclass	L2/3-6 IT	0.9126055880441846	0.19
whole_cortex	pineda	rachel_subclass	L5 ET	0.8810526315789474	0.03
whole_cortex	pineda	rachel_subclass	L5/6 NP	0.568877551020408	0.02
whole_cortex	pineda	rachel_subclass	L6b	0.6872852233676975	0.13
whole_cortex	pineda	rachel_subclass	Microglia	1.0	0.63
whole_cortex	pineda	rachel_subclass	OPC	1.0	0.47
whole_cortex	pineda	rachel_subclass	Oligodendrocyte	1.0	0.2
whole_cortex	pineda	rachel_subclass	PVALB	1.0	0.47
whole_cortex	pineda	rachel_subclass	SST	1.0	0.35
whole_cortex	pineda	rachel_subclass	VIP	1.0	0.22
