task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
913	a6/251ee5	315934	predictSeurat (134)	CACHED	0	2025-01-31 19:25:37.876	4m 35s	4m 30s	-	-	-	-	-
946	1d/62c96a	316050	predictSeurat (249)	CACHED	0	2025-01-31 20:20:27.960	8m	7m 55s	-	-	-	-	-
956	2e/98049d	316018	predictSeurat (205)	CACHED	0	2025-01-31 20:05:47.935	6m 40s	6m 35s	-	-	-	-	-
976	c5/510831	315312	rfPredict (90)	CACHED	0	2025-01-31 17:44:42.727	1m 5s	60s	-	-	-	-	-
1006	df/0d3297	315834	predictSeurat (25)	CACHED	0	2025-01-31 18:37:22.823	3m	2m 55s	-	-	-	-	-
1032	92/bde36b	315470	rfPredict (251)	CACHED	0	2025-01-31 18:01:17.786	1m 5s	60s	-	-	-	-	-
959	97/8e0d2e	316173	predictSeurat (337)	CACHED	0	2025-01-31 21:21:28.040	6m 40s	6m 35s	-	-	-	-	-
1040	2a/f0b963	315729	rfPredict (427)	CACHED	0	2025-01-31 18:19:42.888	1m 5s	60s	-	-	-	-	-
1039	a5/59814d	315657	rfPredict (383)	CACHED	0	2025-01-31 18:15:22.812	1m 5s	60s	-	-	-	-	-
967	b3/29f87a	316172	predictSeurat (425)	CACHED	0	2025-01-31 21:21:03.023	7m 40s	7m 35s	-	-	-	-	-
1011	1d/6a4b98	316137	predictSeurat (333)	CACHED	0	2025-01-31 21:04:08.021	2m 35s	2m 30s	-	-	-	-	-
1056	68/f52cea	316090	predictSeurat (304)	CACHED	0	2025-01-31 20:39:43.015	4m 40s	4m 35s	-	-	-	-	-
1025	88/73e9a4	315865	predictSeurat (69)	CACHED	0	2025-01-31 18:51:02.821	4m 25s	4m 20s	-	-	-	-	-
1063	03/88b67f	315885	predictSeurat (84)	CACHED	0	2025-01-31 19:02:12.845	3m 40s	3m 35s	-	-	-	-	-
1064	63/e394be	315567	rfPredict (321)	CACHED	0	2025-01-31 18:08:52.780	1m 5s	60s	-	-	-	-	-
1045	80/9db9f7	315424	rfPredict (202)	CACHED	0	2025-01-31 17:55:52.838	1m 5s	1m	-	-	-	-	-
1060	bb/673cd2	315452	rfPredict (233)	CACHED	0	2025-01-31 17:59:07.812	1m 5s	60s	-	-	-	-	-
1048	1a/668909	316020	predictSeurat (216)	CACHED	0	2025-01-31 20:07:07.931	3m 20s	3m 15s	-	-	-	-	-
1041	fe/04e563	315245	rfPredict (26)	CACHED	0	2025-01-31 17:37:17.868	1m 5s	1m	-	-	-	-	-
1054	c4/4aded8	316106	predictSeurat (348)	CACHED	0	2025-01-31 20:48:12.990	4m 30s	4m 25s	-	-	-	-	-
1062	ab/d568d9	315496	rfPredict (277)	CACHED	0	2025-01-31 18:03:27.879	1m 5s	60s	-	-	-	-	-
904	80/16f5b9	315574	rfPredict (327)	CACHED	0	2025-01-31 18:08:52.888	1m 5s	60s	-	-	-	-	-
1043	33/dae60e	315318	rfPredict (114)	CACHED	0	2025-01-31 17:45:22.730	1m 5s	1m	-	-	-	-	-
1038	0a/7164a0	315585	rfPredict (339)	CACHED	0	2025-01-31 18:09:57.903	1m 5s	60s	-	-	-	-	-
1096	d0/5cba7d	315341	rfPredict (127)	CACHED	0	2025-01-31 17:47:12.953	1m 5s	1m	-	-	-	-	-
1044	17/910a55	315377	rfPredict (158)	CACHED	0	2025-01-31 17:50:27.882	1m 5s	1m	-	-	-	-	-
1049	a3/b196c8	315493	rfPredict (334)	CACHED	0	2025-01-31 18:03:27.833	1m 5s	60s	-	-	-	-	-
1095	65/96ba45	315329	rfPredict (83)	CACHED	0	2025-01-31 17:46:27.841	44.9s	40s	-	-	-	-	-
1046	a0/198205	315465	rfPredict (246)	CACHED	0	2025-01-31 18:00:12.866	1m 5s	60s	-	-	-	-	-
958	a4/ec25d9	315458	rfPredict (237)	CACHED	0	2025-01-31 18:00:12.747	1m 5s	1m	-	-	-	-	-
971	3c/65611a	315875	predictSeurat (73)	CACHED	0	2025-01-31 18:55:42.831	7m 50s	7m 45s	-	-	-	-	-
1027	af/894797	316068	predictSeurat (260)	CACHED	0	2025-01-31 20:29:27.972	3m 35s	3m 30s	-	-	-	-	-
1127	d5/bdc586	316081	predictSeurat (290)	CACHED	0	2025-01-31 20:35:42.977	4m 35s	4m 30s	-	-	-	-	-
1090	e5/ccf837	315903	predictSeurat (128)	CACHED	0	2025-01-31 19:09:52.849	4m 35s	4m 30s	-	-	-	-	-
1023	e4/78824e	316228	predictSeurat (421)	CACHED	0	2025-01-31 21:48:38.296	4m 40s	4m 35s	-	-	-	-	-
995	32/7603e9	315484	rfPredict (266)	CACHED	0	2025-01-31 18:02:22.848	1m 5s	60s	-	-	-	-	-
993	61/c7a178	315442	rfPredict (222)	CACHED	0	2025-01-31 17:58:02.814	1m 5s	60s	-	-	-	-	-
922	93/843f59	315647	rfPredict (371)	CACHED	0	2025-01-31 18:14:17.812	1m 5s	60s	-	-	-	-	-
1024	03/da97d4	315296	rfPredict (75)	CACHED	0	2025-01-31 17:42:42.870	1m 5s	1m	-	-	-	-	-
1132	41/9c9b8f	315906	predictSeurat (114)	CACHED	0	2025-01-31 19:10:42.867	5m 15s	5m 10s	-	-	-	-	-
1042	a1/766e45	315252	rfPredict (70)	CACHED	0	2025-01-31 17:38:17.685	1m 5s	59.9s	-	-	-	-	-
992	9b/546c38	316047	predictSeurat (245)	CACHED	0	2025-01-31 20:18:12.948	4m 15s	4m 10s	-	-	-	-	-
1057	e3/740042	315363	rfPredict (145)	CACHED	0	2025-01-31 17:49:22.815	1m 5s	1m	-	-	-	-	-
1026	e9/96f89e	315912	predictSeurat (113)	CACHED	0	2025-01-31 19:14:52.875	4m 10s	4m 5s	-	-	-	-	-
951	84/263119	315303	rfPredict (105)	CACHED	0	2025-01-31 17:43:42.752	1m 5s	60s	-	-	-	-	-
954	9e/4183b8	315367	rfPredict (149)	CACHED	0	2025-01-31 17:49:22.880	1m 5s	1m	-	-	-	-	-
1094	0a/be9793	315251	rfPredict (39)	CACHED	0	2025-01-31 17:38:07.684	1m 5s	1m	-	-	-	-	-
1030	cb/199491	315426	rfPredict (207)	CACHED	0	2025-01-31 17:55:52.870	1m 5s	1m	-	-	-	-	-
989	27/7178a5	315396	rfPredict (178)	CACHED	0	2025-01-31 17:52:37.859	1m 5s	1m	-	-	-	-	-
961	cd/07dcf0	315500	rfPredict (281)	CACHED	0	2025-01-31 18:04:32.793	1m 5s	60s	-	-	-	-	-
970	bc/3848c7	315232	rfPredict (2)	CACHED	0	2025-01-31 17:36:07.689	1m 5s	59.9s	-	-	-	-	-
1100	54/86e688	316026	predictSeurat (234)	CACHED	0	2025-01-31 20:08:27.962	4m 5s	4m	-	-	-	-	-
1047	5e/25dc42	315536	rfPredict (290)	CACHED	0	2025-01-31 18:05:37.765	1m 5s	1m	-	-	-	-	-
1005	5a/cb046f	315687	rfPredict (398)	CACHED	0	2025-01-31 18:17:32.788	1m 5s	60s	-	-	-	-	-
983	99/c56200	315353	rfPredict (134)	CACHED	0	2025-01-31 17:48:17.998	1m 5s	1m	-	-	-	-	-
1109	a2/d2a8ae	316101	predictSeurat (322)	CACHED	0	2025-01-31 20:45:27.987	4m 35s	4m 30s	-	-	-	-	-
1004	a3/4f284f	315629	rfPredict (354)	CACHED	0	2025-01-31 18:12:07.846	1m 5s	60s	-	-	-	-	-
1125	b8/d486a3	315997	predictSeurat (202)	CACHED	0	2025-01-31 19:54:47.913	4m 35s	4m 30s	-	-	-	-	-
1111	79/bc693a	316075	predictSeurat (278)	CACHED	0	2025-01-31 20:33:02.963	4m 35s	4m 30s	-	-	-	-	-
1115	e4/fb5161	315859	predictSeurat (58)	CACHED	0	2025-01-31 18:49:37.836	4m 50s	4m 45s	-	-	-	-	-
1112	cb/652dc3	315956	predictSeurat (146)	CACHED	0	2025-01-31 19:36:47.890	5m 10s	5m 5s	-	-	-	-	-
1124	dd/780490	316197	predictSeurat (378)	CACHED	0	2025-01-31 21:32:48.094	4m 40s	4m 35s	-	-	-	-	-
1118	17/04b250	315907	predictSeurat (102)	CACHED	0	2025-01-31 19:12:52.864	4m 40s	4m 35s	-	-	-	-	-
1068	67/eaaed7	315705	rfPredict (409)	CACHED	0	2025-01-31 18:17:32.918	1m 5s	60s	-	-	-	-	-
1136	8e/93f1b5	316021	predictSeurat (206)	CACHED	0	2025-01-31 20:07:07.947	2m 40s	2m 35s	-	-	-	-	-
1135	9b/1d1b2c	316211	predictSeurat (382)	CACHED	0	2025-01-31 21:41:58.062	2m 40s	2m 35s	-	-	-	-	-
928	53/a110f3	315715	rfPredict (415)	CACHED	0	2025-01-31 18:18:37.830	1m 5s	60s	-	-	-	-	-
1018	ff/0fc7c4	315293	rfPredict (31)	CACHED	0	2025-01-31 17:42:37.770	1m 5s	1m	-	-	-	-	-
1106	39/23aa35	316185	predictSeurat (366)	CACHED	0	2025-01-31 21:27:38.056	4m 40s	4m 35s	-	-	-	-	-
1103	71/25a557	315837	predictSeurat (14)	CACHED	0	2025-01-31 18:38:22.809	3m 35s	3m 30s	-	-	-	-	-
1121	55/b66b5f	315817	predictSeurat (26)	CACHED	0	2025-01-31 18:28:32.791	4m 40s	4m 35s	-	-	-	-	-
1107	e2/d5db84	316002	predictSeurat (190)	CACHED	0	2025-01-31 19:58:22.927	2m 40s	2m 35s	-	-	-	-	-
1114	ca/f5179a	316221	predictSeurat (410)	CACHED	0	2025-01-31 21:44:38.064	4m 35s	4m 30s	-	-	-	-	-
1059	e6/35c9ab	315406	rfPredict (189)	CACHED	0	2025-01-31 17:53:42.864	1m 5s	1m	-	-	-	-	-
1129	ee/f79de6	316230	predictSeurat (422)	CACHED	0	2025-01-31 21:48:43.067	4m 40s	4m 35s	-	-	-	-	-
1113	eb/e7cd4f	315621	rfPredict (347)	CACHED	0	2025-01-31 18:11:02.874	1m 5s	60s	-	-	-	-	-
1126	68/779840	316163	predictSeurat (334)	CACHED	0	2025-01-31 21:16:53.020	4m 40s	4m 35s	-	-	-	-	-
1131	af/587452	315873	predictSeurat (70)	CACHED	0	2025-01-31 18:55:27.842	4m 40s	4m 35s	-	-	-	-	-
1108	13/ca77e4	315551	rfPredict (303)	CACHED	0	2025-01-31 18:06:42.835	1m 5s	60s	-	-	-	-	-
1102	a2/7cae5d	315433	rfPredict (215)	CACHED	0	2025-01-31 17:56:57.824	1m 5s	1m	-	-	-	-	-
1120	72/1ecee3	315764	rfPredict (435)	CACHED	0	2025-01-31 18:20:47.839	1m 5s	60s	-	-	-	-	-
1097	18/298625	315389	rfPredict (171)	CACHED	0	2025-01-31 17:52:37.748	1m 5s	1m	-	-	-	-	-
1116	85/1fc340	315665	rfPredict (391)	CACHED	0	2025-01-31 18:16:27.791	1m 5s	60s	-	-	-	-	-
1134	a2/4522a7	315822	predictSeurat (30)	CACHED	0	2025-01-31 18:31:07.803	3m 10s	3m 5s	-	-	-	-	-
1105	5a/384009	315477	rfPredict (259)	CACHED	0	2025-01-31 18:01:17.912	1m 5s	60s	-	-	-	-	-
1133	6c/3b43f5	316048	predictSeurat (250)	CACHED	0	2025-01-31 20:20:02.953	3m 25s	3m 20s	-	-	-	-	-
1066	4b/7b77ea	315641	rfPredict (365)	CACHED	0	2025-01-31 18:13:12.883	1m 5s	60s	-	-	-	-	-
1128	a9/116b85	315963	predictSeurat (158)	CACHED	0	2025-01-31 19:38:42.910	4m 45s	4m 40s	-	-	-	-	-
1119	d0/c9d3e0	316059	predictSeurat (246)	CACHED	0	2025-01-31 20:24:27.980	3m 35s	3m 30s	-	-	-	-	-
1122	21/24b8cb	315238	rfPredict (16)	CACHED	0	2025-01-31 17:36:42.688	1m 5s	1m	-	-	-	-	-
1149	24/0256d5	315876	predictSeurat (74)	CACHED	0	2025-01-31 18:56:02.830	4m 35s	4m 30s	-	-	-	-	-
1138	c3/d22793	316174	predictSeurat (338)	CACHED	0	2025-01-31 21:21:33.030	3m	2m 55s	-	-	-	-	-
1147	dd/d15899	316234	predictSeurat (426)	CACHED	0	2025-01-31 21:51:18.070	2m 40s	2m 35s	-	-	-	-	-
