level	label	dataset
class	Cajal-Retzius cell	All - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - Smart-seq2
class	Hippocampal neuron	All - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - Smart-seq2
class	Hippocampal neuron	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types
class	L2/3-6 IT	All - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - Smart-seq2
class	LAMP5	All - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - Smart-seq2
class	Leukocyte	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types
class	Leukocyte	Single-cell RNA-seq for all cortical & hippocampal regions (10x)
class	Leukocyte	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)
class	Microglia	Single-cell RNA-seq for all cortical & hippocampal regions (10x)
class	Microglia	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)
class	Neural stem cell	Single-cell RNA-seq for all cortical & hippocampal regions (10x)
class	Neural stem cell	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)
class	OPC	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types
class	OPC	Single-cell RNA-seq for all cortical & hippocampal regions (10x)
class	OPC	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)
class	PVALB	All - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - Smart-seq2
class	SNCG	All - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - Smart-seq2
class	SST	All - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - Smart-seq2
class	VIP	All - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - Smart-seq2
class	deep layer non-IT	All - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - Smart-seq2
family	GABAergic	All - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - Smart-seq2
family	Glutamatergic	All - A single-cell transcriptomic atlas characterizes ageing tissues in the mouse - Smart-seq2
family	Leukocyte	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types
family	Leukocyte	Single-cell RNA-seq for all cortical & hippocampal regions (10x)
family	Leukocyte	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)
family	Neural stem cell	Single-cell RNA-seq for all cortical & hippocampal regions (10x)
family	Neural stem cell	Single-cell RNA-seq for all cortical & hippocampal regions (SMART-Seq v4)
family	OPC	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types
family	OPC	Single-cell RNA-seq for all cortical & hippocampal regions (10x)
