ref	query	key	label	auc	optimal threshold
primary_visual_cortex	pineda	rachel_subclass	Astrocyte	0.9872222222222222	0.12
primary_visual_cortex	pineda	rachel_subclass	Chandelier	1.0	0.35
primary_visual_cortex	pineda	rachel_subclass	L2/3-6 IT	0.866796621182586	0.05
primary_visual_cortex	pineda	rachel_subclass	L5 ET	0.728421052631579	0.01
primary_visual_cortex	pineda	rachel_subclass	L5/6 NP	0.35714285714285715	0.0
primary_visual_cortex	pineda	rachel_subclass	L6b	0.640893470790378	0.06
primary_visual_cortex	pineda	rachel_subclass	Microglia	1.0	0.65
primary_visual_cortex	pineda	rachel_subclass	OPC	1.0	0.41
primary_visual_cortex	pineda	rachel_subclass	Oligodendrocyte	1.0	0.25
primary_visual_cortex	pineda	rachel_subclass	PVALB	1.0	0.36
primary_visual_cortex	pineda	rachel_subclass	SST	1.0	0.22
primary_visual_cortex	pineda	rachel_subclass	VIP	0.9450171821305842	0.11
