cell_type	markers	shortname	family	organism	level
T cell	CD3, CD8A, CD45RB	T cell	Non-neuron	mus_musculus	subclass
mature NK T cell	CD45RB	NK T cell	Non-neuron	mus_musculus	subclass
L2/3-6 intratelencephalic projecting glutamatergic neuron	CUX2, LHX2, RORB	L2/3-6 IT	Glutamatergic	homo_sapiens	subclass
oligodendrocyte	MOG	Oligodendrocyte	Non-neuron	homo_sapiens	subclass
pvalb GABAergic cortical interneuron	PVALB	PVALB	GABAergic	homo_sapiens	subclass
VIP GABAergic interneuron	VIP	VIP	GABAergic	homo_sapiens	subclass
sst GABAergic cortical interneuron	SST	SST	GABAergic	homo_sapiens	subclass
astrocyte	GFAP, AQP4	Astrocyte	Non-neuron	homo_sapiens	subclass
lamp5 GABAergic cortical interneuron	LAMP5	LAMP5	GABAergic	homo_sapiens	subclass
microglial cell	TMEM119, P2RY12	Microglia	Non-neuron	homo_sapiens	subclass
oligodendrocyte precursor cell	PDGFRA	OPC	Non-neuron	homo_sapiens	subclass
sncg GABAergic cortical interneuron	SNCG	SNCG	GABAergic	homo_sapiens	subclass
near-projecting glutamatergic cortical neuron	FOXP2, TLE4, SLC17A8	L5/6 NP	Glutamatergic	homo_sapiens	subclass
L6b glutamatergic cortical neuron	CPLX3, CTGF, NXPH4	L6b	Glutamatergic	homo_sapiens	subclass
chandelier pvalb GABAergic cortical interneuron	PVALB, VIPR2, UNC5B	Chandelier	GABAergic	homo_sapiens	subclass
L5 extratelencephalic projecting glutamatergic cortical neuron	FEZF2, POU3F1, BCL6, ETV1, BCL11B	L5 ET	Glutamatergic	homo_sapiens	subclass
L6 corticothalamic-projecting glutamatergic cortical neuron	FOXP2, TLE4, SEMA3E	L6 CT	Glutamatergic	homo_sapiens	subclass
vascular leptomeningeal cell	DCN, LUM, COL1A1, COL5A1	VLMC	Non-neuron	homo_sapiens	subclass
endothelial cell	FLT1	Endothelial	Non-neuron	homo_sapiens	subclass
pericyte	PDGFRB, RGS5	Pericyte	Non-neuron	homo_sapiens	subclass
smooth muscle cell	ACTA2	Smooth muscle cell	Non-neuron	homo_sapiens	subclass
erythroid lineage cell	HBA1, HBB	Erythroid	Non-neuron	homo_sapiens	subclass
macrophage	F13A1, COLEC12	Macrophage	Immune	homo_sapiens	subclass
myeloid cell	LSP1, LYZ	Myeloid	Immune	homo_sapiens	subclass
B cell	EBF1, IGKC	B cell	Immune	homo_sapiens	subclass
T cell	SKAP1, CD247	T cell	Immune	homo_sapiens	subclass
GABAergic interneuron	GAD1, GAD2	GABAergic	GABAergic	mus_musculus	family
glutamatergic neuron	SLC17A7, SLC17A6	Glutamatergic	Glutamatergic	mus_musculus	family
astrocyte	GFAP, AQP4	Astrocyte	Non-neuron	mus_musculus	family
oligodendrocyte	MBP, MOG, PLP1	Oligodendrocyte	Non-neuron	mus_musculus	family
oligodendrocyte precursor cell	PDGFRA, CSPG4	OPC	Non-neuron	mus_musculus	family
