ref	query	key	label	auc	optimal threshold
Dissection_Dorsolateral_prefrontal_cortex_DFC	lim_Cingulate	rachel_subclass	Astrocyte	0.7991071428571429	0.22
Dissection_Dorsolateral_prefrontal_cortex_DFC	lim_Cingulate	rachel_subclass	Endothelial	0.7222222222222222	0.06
Dissection_Dorsolateral_prefrontal_cortex_DFC	lim_Cingulate	rachel_subclass	L2/3-6 IT	0.8077299412915852	0.16
Dissection_Dorsolateral_prefrontal_cortex_DFC	lim_Cingulate	rachel_subclass	L5 ET	0.43433544303797467	0.01
Dissection_Dorsolateral_prefrontal_cortex_DFC	lim_Cingulate	rachel_subclass	Microglia	0.7794117647058824	0.05
Dissection_Dorsolateral_prefrontal_cortex_DFC	lim_Cingulate	rachel_subclass	OPC	1.0	0.51
Dissection_Dorsolateral_prefrontal_cortex_DFC	lim_Cingulate	rachel_subclass	Oligodendrocyte	0.9754784688995215	0.24
