ref	query	key	label	auc	optimal threshold
primary_motor_cortex	velmeshev_ACC	rachel_subclass	Astrocyte	1.0	0.17
primary_motor_cortex	velmeshev_ACC	rachel_subclass	Endothelial	0.9231770833333334	0.2
primary_motor_cortex	velmeshev_ACC	rachel_subclass	L2/3-6 IT	0.5792	0.28
primary_motor_cortex	velmeshev_ACC	rachel_subclass	L5/6 NP	1.0	0.39
primary_motor_cortex	velmeshev_ACC	rachel_subclass	LAMP5	1.0	0.27
primary_motor_cortex	velmeshev_ACC	rachel_subclass	Microglia	0.984375	0.06
primary_motor_cortex	velmeshev_ACC	rachel_subclass	OPC	1.0	0.18
primary_motor_cortex	velmeshev_ACC	rachel_subclass	Oligodendrocyte	0.9988839285714286	0.25
primary_motor_cortex	velmeshev_ACC	rachel_subclass	PVALB	1.0	0.31
primary_motor_cortex	velmeshev_ACC	rachel_subclass	SST	0.9895833333333334	0.18
primary_motor_cortex	velmeshev_ACC	rachel_subclass	VIP	0.9285714285714285	0.07
