ref	query	key	label	auc	optimal threshold
middle_temporal_gyrus	velmeshev	rachel_subclass	Astrocyte	0.9976470588235293	0.2
middle_temporal_gyrus	velmeshev	rachel_subclass	Endothelial	1.0	0.19
middle_temporal_gyrus	velmeshev	rachel_subclass	L2/3-6 IT	0.8988927738927739	0.1
middle_temporal_gyrus	velmeshev	rachel_subclass	L5/6 NP	0.9450171821305842	0.01
middle_temporal_gyrus	velmeshev	rachel_subclass	LAMP5	1.0	0.49
middle_temporal_gyrus	velmeshev	rachel_subclass	Microglia	1.0	0.2
middle_temporal_gyrus	velmeshev	rachel_subclass	OPC	1.0	0.38
middle_temporal_gyrus	velmeshev	rachel_subclass	Oligodendrocyte	0.9979570990806946	0.22
middle_temporal_gyrus	velmeshev	rachel_subclass	PVALB	1.0	0.15
middle_temporal_gyrus	velmeshev	rachel_subclass	SST	0.9978947368421053	0.24
middle_temporal_gyrus	velmeshev	rachel_subclass	VIP	0.95703125	0.12
