query	reference	label	f1_score	weighted_f1	key	cutoff	query_region	ref_region	disease	sex	dev_stage
rosmap	middle_temporal_gyrus	Non-neuron	nan	0.9388451612903226	subclass	0.0	prefrontal cortex	middle temporal gyrus			
rosmap	middle_temporal_gyrus	Microglia	1.0	0.9388451612903226	subclass	0.0	prefrontal cortex	middle temporal gyrus			
rosmap	middle_temporal_gyrus	OPC	1.0	0.9388451612903226	subclass	0.0	prefrontal cortex	middle temporal gyrus			
rosmap	middle_temporal_gyrus	Oligodendrocyte	1.0	0.9388451612903226	subclass	0.0	prefrontal cortex	middle temporal gyrus			
rosmap	middle_temporal_gyrus	Pericyte	1.0	0.9388451612903226	subclass	0.0	prefrontal cortex	middle temporal gyrus			
rosmap	middle_temporal_gyrus	GABAergic	0.7741935483870968	0.9388451612903226	subclass	0.0	prefrontal cortex	middle temporal gyrus			
rosmap	middle_temporal_gyrus	Glutamatergic	0.94	0.9388451612903226	subclass	0.0	prefrontal cortex	middle temporal gyrus			
rosmap	middle_temporal_gyrus	Astrocyte	1.0	0.9388451612903226	subclass	0.0	prefrontal cortex	middle temporal gyrus			
rosmap	middle_temporal_gyrus	Non-neuron	nan	0.9388451612903225	class	0.0	prefrontal cortex	middle temporal gyrus			
rosmap	middle_temporal_gyrus	Microglia	1.0	0.9388451612903225	class	0.0	prefrontal cortex	middle temporal gyrus			
rosmap	middle_temporal_gyrus	Oligodendrocyte lineage	1.0	0.9388451612903225	class	0.0	prefrontal cortex	middle temporal gyrus			
rosmap	middle_temporal_gyrus	Vascular	1.0	0.9388451612903225	class	0.0	prefrontal cortex	middle temporal gyrus			
rosmap	middle_temporal_gyrus	GABAergic	0.7741935483870968	0.9388451612903225	class	0.0	prefrontal cortex	middle temporal gyrus			
rosmap	middle_temporal_gyrus	Glutamatergic	0.94	0.9388451612903225	class	0.0	prefrontal cortex	middle temporal gyrus			
rosmap	middle_temporal_gyrus	Astrocyte	1.0	0.9388451612903225	class	0.0	prefrontal cortex	middle temporal gyrus			
rosmap	middle_temporal_gyrus	Non-neuron	0.9855072463768116	0.9339176250584384	family	0.0	prefrontal cortex	middle temporal gyrus			
rosmap	middle_temporal_gyrus	GABAergic	0.7741935483870968	0.9339176250584384	family	0.0	prefrontal cortex	middle temporal gyrus			
rosmap	middle_temporal_gyrus	Glutamatergic	0.94	0.9339176250584384	family	0.0	prefrontal cortex	middle temporal gyrus			
