query	reference	label	f1_score	weighted_f1	key	cutoff	query_region	ref_region	disease	sex	dev_stage
rosmap	middle_temporal_gyrus	OPC	1.0	0.964857142857143	subclass	0.0	prefrontal cortex	middle temporal gyrus			
rosmap	middle_temporal_gyrus	Astrocyte	1.0	0.964857142857143	subclass	0.0	prefrontal cortex	middle temporal gyrus			
rosmap	middle_temporal_gyrus	Oligodendrocyte	1.0	0.964857142857143	subclass	0.0	prefrontal cortex	middle temporal gyrus			
rosmap	middle_temporal_gyrus	GABAergic	0.9230769230769231	0.964857142857143	subclass	0.0	prefrontal cortex	middle temporal gyrus			
rosmap	middle_temporal_gyrus	VLMC	nan	0.964857142857143	subclass	0.0	prefrontal cortex	middle temporal gyrus			
rosmap	middle_temporal_gyrus	Non-neuron	nan	0.964857142857143	subclass	0.0	prefrontal cortex	middle temporal gyrus			
rosmap	middle_temporal_gyrus	Microglia	1.0	0.964857142857143	subclass	0.0	prefrontal cortex	middle temporal gyrus			
rosmap	middle_temporal_gyrus	Pericyte	0.0	0.964857142857143	subclass	0.0	prefrontal cortex	middle temporal gyrus			
rosmap	middle_temporal_gyrus	Glutamatergic	0.9714285714285714	0.964857142857143	subclass	0.0	prefrontal cortex	middle temporal gyrus			
rosmap	middle_temporal_gyrus	Astrocyte	1.0	0.974857142857143	class	0.0	prefrontal cortex	middle temporal gyrus			
rosmap	middle_temporal_gyrus	GABAergic	0.9230769230769231	0.974857142857143	class	0.0	prefrontal cortex	middle temporal gyrus			
rosmap	middle_temporal_gyrus	Oligodendrocyte lineage	1.0	0.974857142857143	class	0.0	prefrontal cortex	middle temporal gyrus			
rosmap	middle_temporal_gyrus	Vascular	1.0	0.974857142857143	class	0.0	prefrontal cortex	middle temporal gyrus			
rosmap	middle_temporal_gyrus	Non-neuron	nan	0.974857142857143	class	0.0	prefrontal cortex	middle temporal gyrus			
rosmap	middle_temporal_gyrus	Microglia	1.0	0.974857142857143	class	0.0	prefrontal cortex	middle temporal gyrus			
rosmap	middle_temporal_gyrus	Glutamatergic	0.9714285714285714	0.974857142857143	class	0.0	prefrontal cortex	middle temporal gyrus			
rosmap	middle_temporal_gyrus	Non-neuron	0.9855072463768116	0.9699296066252588	family	0.0	prefrontal cortex	middle temporal gyrus			
rosmap	middle_temporal_gyrus	GABAergic	0.9230769230769231	0.9699296066252588	family	0.0	prefrontal cortex	middle temporal gyrus			
rosmap	middle_temporal_gyrus	Glutamatergic	0.9714285714285714	0.9699296066252588	family	0.0	prefrontal cortex	middle temporal gyrus			
