cell_type	subclass
astrocyte_Fibrous	Astrocyte
NA	unknown
glutamatergic_L5IT	L2/3-6 IT
gabaergic_LAMP5	LAMP5
gabaergic_SNCG	SNCG
gabaergic_SSTCHODL	SST
gabaergic_SST	SST
gabaergic_VIP	VIP
glutamatergic_L23IT	L2/3-6 IT
glutamatergic_L6IT	L2/3-6 IT
glutamatergic_L6ITCar3	L2/3-6 IT
polydendrocyte	OPC
endothelia	Endothelial
microglia	Microglia
astrocyte_Protoplasmic	Astrocyte
glutamatergic_L4IT	L2/3-6 IT
glutamatergic_L5ET	L5 ET
gabaergic_PVALB	PVALB
oligodendrocyte	Oligodendrocyte
gabaergic_MEIS2	GABAergic
glutamatergic_L56NP	L5/6 NP
glutamatergic_L6b	L6b
glutamatergic_L6CT	L6 CT
astrocyte_Interlaminar	Astrocyte
