ref	query	key	label	auc	optimal threshold
primary_visual_cortex	nagy	rachel_subclass	Astrocyte	1.0	0.39
primary_visual_cortex	nagy	rachel_subclass	L2/3-6 IT	0.7873333333333333	0.12
primary_visual_cortex	nagy	rachel_subclass	L5 ET	0.6233333333333333	0.07
primary_visual_cortex	nagy	rachel_subclass	L5/6 NP	0.644927536231884	0.02
primary_visual_cortex	nagy	rachel_subclass	L6 CT	0.9112903225806451	0.11
primary_visual_cortex	nagy	rachel_subclass	Microglia	0.8532608695652174	0.04
primary_visual_cortex	nagy	rachel_subclass	Oligodendrocyte	0.8805220883534136	0.3
primary_visual_cortex	nagy	rachel_subclass	PVALB	0.9086021505376343	0.1
primary_visual_cortex	nagy	rachel_subclass	SST	0.7815934065934066	0.13
primary_visual_cortex	nagy	rachel_subclass	VIP	0.967391304347826	0.09
