ref	query	key	label	auc	optimal threshold
middle_temporal_gyrus	nagy	rachel_subclass	Astrocyte	1.0	0.33
middle_temporal_gyrus	nagy	rachel_subclass	L2/3-6 IT	0.9366666666666666	0.15
middle_temporal_gyrus	nagy	rachel_subclass	L5 ET	0.8355555555555555	0.04
middle_temporal_gyrus	nagy	rachel_subclass	L5/6 NP	0.7536231884057971	0.02
middle_temporal_gyrus	nagy	rachel_subclass	L6 CT	0.4381720430107527	0.01
middle_temporal_gyrus	nagy	rachel_subclass	Microglia	0.9239130434782609	0.05
middle_temporal_gyrus	nagy	rachel_subclass	Oligodendrocyte	0.9523092369477911	0.15
middle_temporal_gyrus	nagy	rachel_subclass	PVALB	0.9354838709677419	0.24
middle_temporal_gyrus	nagy	rachel_subclass	SST	0.9436813186813187	0.08
middle_temporal_gyrus	nagy	rachel_subclass	VIP	0.9927536231884059	0.18
